"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GXIVsPLA2",0.0102095310354751,-0.140486060174795,0.211,0.162,1
"rk",0.0102905613892639,0.272312337118734,0.066,0.043,1
"sel",0.0103301388767303,0.155684040951418,0.085,0.058,1
"otk",0.0103335565257421,0.148452391113962,0.171,0.131,1
"sprt",0.0103841484566381,0.115839555529905,0.1,0.071,1
"CG9934",0.010483748219545,0.124595292053075,0.199,0.157,1
"CG17807",0.0105049965395011,0.298896841830316,0.064,0.041,1
"Tg",0.0105084514259221,0.292084286622232,0.11,0.079,1
"CG11593",0.0105314375185907,0.193528230852773,0.137,0.103,1
"Arp10",0.010541660311142,-0.12860832076587,0.162,0.121,1
"CG15525",0.0106112273343679,0.188586611430453,0.101,0.071,1
"egr",0.0106397722814528,0.223233465101333,0.218,0.173,1
"CG8281",0.0106716461356409,0.187012500971863,0.12,0.087,1
"CG7376",0.0107219283574314,1.21337035297837,0.028,0.014,1
"CG3803",0.0107332028358648,0.305406199341095,0.058,0.036,1
"mei-9",0.0108289369962778,1.02794218440762,0.028,0.014,1
"AdenoK",0.0109697858135461,0.169901063367106,0.118,0.086,1
"Nhe3",0.0110036212815119,0.139408753292668,0.117,0.085,1
"Dim1",0.0110316008889063,0.238345341500618,0.071,0.047,1
"mRpS25",0.0111112405487483,-0.143889542450559,0.202,0.154,1
"DCTN4-p62",0.011138688659562,0.219094082632656,0.096,0.068,1
"Hus1-like",0.0112095686816279,0.252015608983425,0.077,0.052,1
"haf",0.0112324665405802,-2.90468822448075,0.007,0.018,1
"Ask1",0.0112585303516312,0.185755578590916,0.116,0.084,1
"CG14855",0.0112629774211475,0.154077456358296,0.104,0.073,1
"CG8176",0.0113223727662682,0.122100243826437,0.249,0.2,1
"CG32506",0.0113498347558061,0.684423674199265,0.066,0.044,1
"CG11158",0.0113610447439574,0.423853930981905,0.033,0.017,1
"CG43349",0.0114072458462059,-1.80020146719592,0.007,0.018,1
"CG43308",0.011440352885387,2.21412040454136,0.011,0.003,1
"CG5071",0.0115387498904434,1.59486102788964,0.011,0.003,1
"Sas-4",0.0116816572465331,0.116769991816555,0.1,0.071,1
"Hexim",0.0117378953806624,-0.11400321813133,0.136,0.1,1
"Sirt6",0.0118232549960462,0.429515007912309,0.047,0.028,1
"CG3732",0.0118296328131732,-0.152485449565347,0.211,0.162,1
"dgt4",0.0118327402468778,0.233629411658767,0.088,0.061,1
